GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ServiCiudad Cali,com.serviciudad.domain.valueobject,ConsumoAgua,0,54,0,12,0,11,0,11,0,5
ServiCiudad Cali,com.serviciudad.domain.valueobject,Dinero,0,106,0,12,0,16,0,18,0,12
ServiCiudad Cali,com.serviciudad.domain.valueobject,ClienteId,0,40,0,8,0,10,0,6,0,2
ServiCiudad Cali,com.serviciudad.domain.valueobject,Periodo,0,70,0,12,0,14,0,10,0,4
ServiCiudad Cali,com.serviciudad.domain.valueobject,FacturaId,0,23,0,4,0,6,0,4,0,2
ServiCiudad Cali,com.serviciudad.domain.valueobject,ConsumoEnergia,0,54,0,12,0,11,0,11,0,5
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.input.web,WebViewController,2,3,0,0,1,1,1,1,1,1
ServiCiudad Cali,com.serviciudad.domain.model,FacturaAcueducto,0,123,1,25,0,30,1,21,0,9
ServiCiudad Cali,com.serviciudad.domain.model,EstadisticasDeuda,2,42,1,5,0,7,1,6,0,4
ServiCiudad Cali,com.serviciudad.domain.model,DeudaConsolidada,0,206,1,13,0,66,1,18,0,12
ServiCiudad Cali,com.serviciudad.domain.model,ConsumoEnergiaModel,0,32,1,3,0,5,1,6,0,5
ServiCiudad Cali,com.serviciudad.domain.model,EstadoFactura,41,27,14,0,5,5,12,1,5,1
ServiCiudad Cali,com.serviciudad.config,OpenApiConfig,0,76,0,0,0,27,0,6,0,6
ServiCiudad Cali,com.serviciudad.config,DatabaseConfig,0,150,0,0,0,35,0,5,0,5
ServiCiudad Cali,com.serviciudad.config,CorsConfig,0,116,0,0,0,9,0,2,0,2
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.output.persistence.jpa.mapper,ConsumoEnergiaJpaMapper,3,54,0,0,1,16,1,2,1,2
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.output.persistence.jpa.mapper,FacturaJpaMapper,3,82,0,0,1,24,1,4,1,4
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.input.rest,ConsumoEnergiaRestController,0,160,0,0,0,46,0,6,0,6
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.input.rest,DeudaRestController,0,29,0,0,0,8,0,2,0,2
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.input.rest,FacturaRestController,0,212,0,0,0,61,0,8,0,8
ServiCiudad Cali,com.serviciudad.domain.exception,FacturaDuplicadaException,0,9,0,0,0,4,0,2,0,2
ServiCiudad Cali,com.serviciudad.domain.exception,FacturaNoEncontradaException,0,9,0,0,0,4,0,2,0,2
ServiCiudad Cali,com.serviciudad.application.mapper,DeudaMapper,3,171,0,0,1,54,1,6,1,6
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.output.persistence.jpa.entity,EstadoFacturaJpa,0,27,0,0,0,5,0,1,0,1
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.output.persistence.jpa.entity,FacturaJpaEntity,0,11,0,0,0,5,0,2,0,2
ServiCiudad Cali,com.serviciudad.exception,GlobalExceptionHandler,0,243,0,2,0,63,0,9,0,8
ServiCiudad Cali,com.serviciudad.application.usecase,ConsultarConsumoEnergiaUseCaseImpl,0,16,0,0,0,3,0,3,0,3
ServiCiudad Cali,com.serviciudad.application.usecase,GestionarFacturaUseCaseImpl,0,176,2,6,0,43,2,11,0,9
ServiCiudad Cali,com.serviciudad.application.usecase,ConsultarDeudaUseCaseImpl,0,15,0,0,0,3,0,1,0,1
ServiCiudad Cali,com.serviciudad.infrastructure.config,SecurityConfig,0,81,0,0,0,17,0,5,0,5
ServiCiudad Cali,com.serviciudad.infrastructure.config,RateLimitInterceptor,54,87,7,3,12,26,5,7,0,7
ServiCiudad Cali,com.serviciudad.infrastructure.config,WebConfig,0,72,0,0,0,8,0,2,0,2
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.output.persistence,ConsumoEnergiaReaderAdapter,0,45,0,0,0,13,0,4,0,4
ServiCiudad Cali,com.serviciudad.infrastructure.adapter.output.persistence,FacturaRepositoryAdapter,36,78,0,0,12,25,3,7,3,7
ServiCiudad Cali,com.serviciudad,DeudaConsolidadaApplication,5,3,0,0,2,1,1,1,1,1
